NAME;TITLE ID;BUILD ID;FILE PATH
ACANEOGEOBLUE'SJOURNEY;010037900390000;7f38079d766279aa;sxos\titles\010037900390000\cheats\7f38079d766279aa.txt
ACANEOGEOBLUESJOURNEY;0100379003900000;7f38079d766279aa;sxos\titles\0100379003900000\cheats\7f38079d766279aa.txt
ACANEOGEOBURNINGFIGHT;01002AA004DB4000;bdee92e5ec9697c6;sxos\titles\01002AA004DB4000\cheats\bdee92e5ec9697c6.txt
ACANEOGEOCROSSEDSWORDS;0100D2400AFB0000;1da52476c29e672a,7cc18779b44cc2e4;sxos\titles\0100D2400AFB0000\cheats\1da52476c29e672a.txt
ACANEOGEOCROSSEDSWORDS;0100D2400AFB0000;1da52476c29e672a,7cc18779b44cc2e4;sxos\titles\0100D2400AFB0000\cheats\7cc18779b44cc2e4.txt
ACANEOGEOCYBERLIP;010082200AFBE000;95f1724b8c468d93;sxos\titles\010082200AFBE000\cheats\95f1724b8c468d93.txt
ACANEOGEOCYBER-LIP;010082200AFBE00;95f1724b8c468d93;sxos\titles\010082200AFBE00\cheats\95f1724b8c468d93.txt
ACANEOGEOFATALFURY;0100EE6002B48000;0f9affb0ccbead2e;sxos\titles\0100EE6002B48000\cheats\0f9affb0ccbead2e.txt
ACANEOGEOFATALFURY;01000D100871400;a331029fba7353b7;sxos\titles\01000D100871400\cheats\a331029fba7353b7.txt
ACANEOGEOFATALFURY2;0100CAF001DBE000;84f8723c0b2edd8b;sxos\titles\0100CAF001DBE000\cheats\84f8723c0b2edd8b.txt
ACANEOGEOFatalFury3;01000D1008714000;a331029fba7353b7;sxos\titles\01000D1008714000\cheats\a331029fba7353b7.txt
ACANEOGEOFATALFURYSPECIAL;010019A0038FA00;bf06160b4d5e2fa6;sxos\titles\010019A0038FA00\cheats\bf06160b4d5e2fa6.txt
ACANEOGEOFatalFuryspecial;010019A0038FA000;bf06160b4d5e2fa6;sxos\titles\010019A0038FA000\cheats\bf06160b4d5e2fa6.txt
ACANEOGEOGAROU:MARKOFTHEWOLVES;0100CB2001DB8000;bc47ad4e7bed34e3;sxos\titles\0100CB2001DB8000\cheats\bc47ad4e7bed34e3.txt
ACANEOGEOGHOSTPILOTS;01005D700A2F8000;1f6db096bf36fb72;sxos\titles\01005D700A2F8000\cheats\1f6db096bf36fb72.txt
ACANEOGEOKARNOVSREVENGE;010014E004FA8000;0ba3875088a42f20,28b02ef98363e329,95d53d2920515450,e19317ee3daf4fea;sxos\titles\010014E004FA8000\cheats\0ba3875088a42f20.txt
ACANEOGEOKARNOVSREVENGE;010014E004FA8000;0ba3875088a42f20,28b02ef98363e329,95d53d2920515450,e19317ee3daf4fea;sxos\titles\010014E004FA8000\cheats\28b02ef98363e329.txt
ACANEOGEOKARNOVSREVENGE;010014E004FA8000;0ba3875088a42f20,28b02ef98363e329,95d53d2920515450,e19317ee3daf4fea;sxos\titles\010014E004FA8000\cheats\95d53d2920515450.txt
ACANEOGEOKARNOVSREVENGE;010014E004FA8000;0ba3875088a42f20,28b02ef98363e329,95d53d2920515450,e19317ee3daf4fea;sxos\titles\010014E004FA8000\cheats\e19317ee3daf4fea.txt
ACANEOGEOKOF;010048200AFC2000;8c918ddfd8dc2d21;sxos\titles\010048200AFC2000\cheats\8c918ddfd8dc2d21.txt
ACANEOGEOKOF2002;0100CFD00AFDE000;2fda10318a75886a;sxos\titles\0100CFD00AFDE000\cheats\2fda10318a75886a.txt
ACANEOGEOKOF2003;0100EF100AFE6000;b5398489c48ca2dc;sxos\titles\0100EF100AFE6000\cheats\b5398489c48ca2dc.txt
ACANEOGEOMAGICIANLORD;01007920038F6000;8945fc868c858831;sxos\titles\01007920038F6000\cheats\8945fc868c858831.txt
ACANEOGEOMETALSLUG;0100EBE002B3E000;31196c8f3970cd2a,5b2e5bd36b0a27ba,79161808c248fce6,859b8a3313fb2057;sxos\titles\0100EBE002B3E000\cheats\31196c8f3970cd2a.txt
ACANEOGEOMETALSLUG;0100EBE002B3E000;31196c8f3970cd2a,5b2e5bd36b0a27ba,79161808c248fce6,859b8a3313fb2057;sxos\titles\0100EBE002B3E000\cheats\5b2e5bd36b0a27ba.txt
ACANEOGEOMETALSLUG;0100EBE002B3E000;31196c8f3970cd2a,5b2e5bd36b0a27ba,79161808c248fce6,859b8a3313fb2057;sxos\titles\0100EBE002B3E000\cheats\79161808c248fce6.txt
ACANEOGEOMETALSLUG;0100EBE002B3E000;31196c8f3970cd2a,5b2e5bd36b0a27ba,79161808c248fce6,859b8a3313fb2057;sxos\titles\0100EBE002B3E000\cheats\859b8a3313fb2057.txt
ACANEOGEOMETALSLUG2;010086300486E000;32d6e6c4f9d89524;sxos\titles\010086300486E000\cheats\32d6e6c4f9d89524.txt
ACANEOGEOMETALSLUG3;0100BA8001DC6000;51b72bba4010216e,c8e562fa3fff01a3;sxos\titles\0100BA8001DC6000\cheats\51b72bba4010216e.txt
ACANEOGEOMETALSLUG3;0100BA8001DC6000;51b72bba4010216e,c8e562fa3fff01a3;sxos\titles\0100BA8001DC6000\cheats\c8e562fa3fff01a3.txt
ACANEOGEOMETALSLUG4;01009CE00AFAE000;bb57e52f01ebe5e8,f6b3aba9ccf21914;sxos\titles\01009CE00AFAE000\cheats\bb57e52f01ebe5e8.txt
ACANEOGEOMETALSLUG4;01009CE00AFAE000;bb57e52f01ebe5e8,f6b3aba9ccf21914;sxos\titles\01009CE00AFAE000\cheats\f6b3aba9ccf21914.txt
ACANEOGEOMETALSLUG5;01004C000AFDC000;31c11fff42bc6e6c;sxos\titles\01004C000AFDC000\cheats\31c11fff42bc6e6c.txt
ACANEOGEOMETALSLUGX;01008FD004DB6000;06281c2c7552d226;sxos\titles\01008FD004DB6000\cheats\06281c2c7552d226.txt
ACANEOGEOMUTATIONNATION;01007F4004FA4000;c60224b14ecf7879;sxos\titles\01007F4004FA4000\cheats\c60224b14ecf7879.txt
ACANEOGEONAM1975;0100A8C001DCE000;c09022663b2b7b12,e407e42f60e86164;sxos\titles\0100A8C001DCE000\cheats\c09022663b2b7b12.txt
ACANEOGEONAM1975;0100A8C001DCE000;c09022663b2b7b12,e407e42f60e86164;sxos\titles\0100A8C001DCE000\cheats\e407e42f60e86164.txt
ACANEOGEONINJACOMBAT;010052A00A306000;82c4a7a267c13022;sxos\titles\010052A00A306000\cheats\82c4a7a267c13022.txt
ACANEOGEONINJACOMMANDO;01007E800AFB6000;13b314a955c5cac4;sxos\titles\01007E800AFB6000\cheats\13b314a955c5cac4.txt
ACANEOGEOPREHISTORICISLE2;0100A7800AFAA000;a2f53727feaa4d98;sxos\titles\0100A7800AFAA000\cheats\a2f53727feaa4d98.txt
ACANEOGEORealBoutFatalFury;010030F008730000;1c61f740aacab8cd;sxos\titles\010030F008730000\cheats\1c61f740aacab8cd.txt
ACANEOGEORealBoutFatalFury2;0100CF3008798000;a6471636b3aed24f;sxos\titles\0100CF3008798000\cheats\a6471636b3aed24f.txt
ACANEOGEORidingHero;01002C900A302000;b8a596e19e7eb74c;sxos\titles\01002C900A302000\cheats\b8a596e19e7eb74c.txt
ACANEOGEOROBOARMY;01000C9004FA2000;10597edb95065a24;sxos\titles\01000C9004FA2000\cheats\10597edb95065a24.txt
ACANEOGEOSAMURAISHODOWN;01005C9002B42000;a980c9a9aa329ee2,e7c1eca56d362ef6;sxos\titles\01005C9002B42000\cheats\a980c9a9aa329ee2.txt
ACANEOGEOSAMURAISHODOWN;01005C9002B42000;a980c9a9aa329ee2,e7c1eca56d362ef6;sxos\titles\01005C9002B42000\cheats\e7c1eca56d362ef6.txt
ACANEOGEOSAMURAISHODOWNII;010052B00871C000;15102be545ef5007;sxos\titles\010052B00871C000\cheats\15102be545ef5007.txt
ACANEOGEOSAMURAISHODOWNIII;0100804008794000;15102be545ef5007;sxos\titles\0100804008794000\cheats\15102be545ef5007.txt
ACANEOGEOSAMURAISHODOWNIV;010047F001DBC000;21610cabd4340c7f;sxos\titles\010047F001DBC000\cheats\21610cabd4340c7f.txt
ACANEOGEOSamuraiShodownV;01000C800AFD6000;27a3ddaa287c00b4;sxos\titles\01000C800AFD6000\cheats\27a3ddaa287c00b4.txt
ACANEOGEOSAMURAISHODOWNVSPECIAL;010049F00AFE8000;8e14f03d9792789c;sxos\titles\010049F00AFE8000\cheats\8e14f03d9792789c.txt
ACANEOGEOSAVAGEREIGN;0100E5400AFC8000;9499ab26583322d6;sxos\titles\0100E5400AFC8000\cheats\9499ab26583322d6.txt
ACANEOGEOSENGOKU;0100D170038EA000;70e6912bebf57a0a;sxos\titles\0100D170038EA000\cheats\70e6912bebf57a0a.txt
